episode,name,line
3x09 - Slapsgiving,Robin,"Yeah.
"
3x09 - Slapsgiving,Barney,"She's got you making pies for this guy?
"
3x09 - Slapsgiving,Ted,"Yeah.
"
3x09 - Slapsgiving,Marshall,"That is a real slap in the face.
"
3x09 - Slapsgiving,Ted,"You know, you could have just told me it was for Bob.
"
3x09 - Slapsgiving,Robin,"Yeah, I-I just thought it might upset you.
"
3x09 - Slapsgiving,Ted,"Upset me? Wait a second. Do you think that......Do you think that I'm jealous of Bob?
"
3x09 - Slapsgiving,Robin,"I don't know. Is it so ridiculous to think that you might be?
"
3x09 - Slapsgiving,Ted,"Yes.
"
3x09 - Slapsgiving,Robin,"Why?
"
3x09 - Slapsgiving,Ted,"Because he's a thousand years old.
"
3x09 - Slapsgiving,Lily,"No, Ted! What are you doing?
"
3x09 - Slapsgiving,Robin,"Right?
"
3x09 - Slapsgiving,Ted,"The only reason I'm jealous of Bob is that we can only talk about the first Thanksgiving,
"
3x09 - Slapsgiving,Robin,"Come on.
"
3x09 - Slapsgiving,Ted,"The only reason I'm jealous of Bob is because I heard noah gave him g*n in the ark.
"
3x09 - Slapsgiving,Robin,"Ted...
"
3x09 - Slapsgiving,Ted,"The only reason I'm jealous of Bob is that I'm just an architect, but he discovered fire. How do you top that?
"
3x09 - Slapsgiving,Robin,"He's 41! Why are you bashing on him so hard?
"
3x09 - Slapsgiving,Ted,"I'm not. I'm just joking around. That's what friends do.
"
3x09 - Slapsgiving,Robin,"It's mean.
"
3x09 - Slapsgiving,Ted,"Well, how come we're all allowed to bust on barney when he dates some skanktron, but when you sleep with the crypt keeper's dad, I'm not allowed to say a word?
"
3x09 - Slapsgiving,Robin,"First of all, Bob and I are not sleeping together. We're just dating. Secondly, have I said one word about the parade of dubious conquests you've been marching past me the last few months? One of whom got you a butterfly tattoo?
"
3x09 - Slapsgiving,Ted,"Hey, that is...
"
3x09 - Slapsgiving,Robin,"And if you and I are such good friends... why is baking a pie for Bob so weird?
"
3x09 - Slapsgiving,Ted,"Yeah, if you and i are such good friends, why couldn't you just tell me that's what we were doing? Okay, maybe we should talk about this later. I-I should get going.
"
3x09 - Slapsgiving,Robin,"Well, what are we doing? It's Thanksgiving.
"
3x09 - Slapsgiving,Ted,"I don't know. I'm sorry. This is stupid.
"
3x09 - Slapsgiving,Robin,"I'm sorry, too. Of course we're friends. I'm glad we're friends.
"
3x09 - Slapsgiving,Ted,"me, too.
"
3x09 - Slapsgiving,Barney,"You guys slept together last night?
"
3x09 - Slapsgiving,Lily,"That is a terrible idea!
"
3x09 - Slapsgiving,Marshall,"Horrible idea.
"
3x09 - Slapsgiving,Barney,"Relapse five! That's where we high-five, then it's awkward for a little bit... and then we high-five again!
"
3x09 - Slapsgiving,Lily,"What the hell were you doing? Let's reviewyou and Ted broke up six months ago. You're dating another man...
"
3x09 - Slapsgiving,Robin,"You are correct, Sir.
"
3x09 - Slapsgiving,Lily,":...who's coming to my thanksgiving today...
"
3x09 - Slapsgiving,Robin,"That is a truth-fact.
"
3x09 - Slapsgiving,Lily,":...an event Ted is also attending.
"
3x09 - Slapsgiving,Robin,"kablammo.
"
3x09 - Slapsgiving,Lily,"Why are you trying to destroy American Thanksgiving?!
"
3x09 - Slapsgiving,Robin,"Oh, Lily, it's not as bad as it sounds. Bob and I aren't that serious, and what happened last night with Ted was a fluke.
"
3x09 - Slapsgiving,Lily,"Well, did you guys at least talk about it?
"
3x09 - Slapsgiving,Ted,":There's office material...
"
3x09 - Slapsgiving,Robin,"I hear something burning...
"
3x09 - Slapsgiving,Ted,"Clearly, we need to ignore this.
"
3x09 - Slapsgiving,Robin,"Clearly, we need to talk about this.
"
3x09 - Slapsgiving,Robin,"You know? to save the friendship.
"
3x09 - Slapsgiving,Robin,"We need to talk.
"
3x09 - Slapsgiving,Ted,"Stuffed mushroom?
"
3x09 - Slapsgiving,Robin,"We need to talk about last night.
"
3x09 - Slapsgiving,Ted,"Did you know that some mushrooms are carnivorous? Probably... not?
"
3x09 - Slapsgiving,Robin,"Ted, can we please just deal with this? Look, I'm not mad. I just think...
"
3x09 - Slapsgiving,Ted,"Wait, wait, wait, wait. why would you be mad... you started it?
"
3x09 - Slapsgiving,Robin,"What?! you're crazy!
"
3x09 - Slapsgiving,Ted,"We called a truce, we hugged, and when I tried to pull away, you kept your hand on my neck.
"
3x09 - Slapsgiving,Robin,"Only because your hand was still around my waist.
"
3x09 - Slapsgiving,Ted,"Oh, come on! You leaned into it.
"
3x09 - Slapsgiving,Robin,"I... leaned into it?
"
3x09 - Slapsgiving,Ted,"Yeah. You're like the crappy kid in little league who knows he's not going to make contact, so he just...""Oops, I got hit by the pitch. Better take my base.""
"
3x09 - Slapsgiving,Robin,"Oh, that was you in little league, wasn't it?
"
3x09 - Slapsgiving,Ted,"My on-base percentage was off the charts!
"
3x09 - Slapsgiving,Marshall,"Oh, no! The slap-petizers.
"
3x09 - Slapsgiving,Lily,"You know what? That's it! This is Thanksgiving. Solve this right now. And if you have sex again, neither of you gets dessert! Oh, what the hell kind of Thanksgiving is this anyway?
"
3x09 - Slapsgiving,Barney,"Um, most Thanksgivings.
"
3x09 - Slapsgiving,Marshall,"Don't stress, baby. I'll try to find us something relaxing.
"
3x09 - Slapsgiving,Lily,"Thanks, baby. Ooh, some classical music, maybe.
"
3x09 - Slapsgiving,Marshall,"Oh, my! Look at that. That means we're in the final hour of the countdown.
"
3x09 - Slapsgiving,Barney,"I'm not scared.
"
3x09 - Slapsgiving,Marshall,"Then why is your right cheek twitching? It's not... maybe it's because future me slaps future you so hard, it reverberates back to the present, shattering the time-slap continuum.
"
3x09 - Slapsgiving,Barney,"Please don't slap me.
"
3x09 - Slapsgiving,Marshall,"I'm sorry, what?
"
3x09 - Slapsgiving,Barney,"Oh, God! don't slap me again! I don't want to get slapped again, and the first two times hurt so bad, I don't like it! I don't like it one bit!
"
3x09 - Slapsgiving,Marshall,"I thought I ruined it by putting a clock on it, Barney?
"
3x09 - Slapsgiving,Barney,"Well, you didn't ruin it; you made it so much worse! I can't eat. I can't sleep. I've lost ten pounds; my suits are wearing me. You know what? I'm outta here.
"
3x09 - Slapsgiving,Marshall,"Well, no, no, no. you can't leave.
"
3x09 - Slapsgiving,Barney,"Why can't I?! Nowhere in the rules does it say that I have to sit through sort of mental t*rture! You are allowed to slap my face, Sir, but you are not allowed to slap my mind! Good day!
"
3x09 - Slapsgiving,Marshall,"But it's Slapsgiving.
"
3x09 - Slapsgiving,Lily,"No! It's not! It's Thanksgiving! Our first one as a married couple, as grownups and you're not even trying to be a part of it! None of you are! So... as slap bet commissioner, I'm issuing a ruling. Thanksgiving is a day of peace. There will be no slaps today!
"
3x09 - Slapsgiving,Marshall,"What?!
"
3x09 - Slapsgiving,Barney,"Yes! In your face! Not my face... your face!
"
3x09 - Slapsgiving,Marshall,"Baby,please... -no!
"
3x09 - Slapsgiving,Lily,"The slap bet commissioner's word is final, so get in the kitchen and mash some potatoes, now. And for the rest of the day, we are going to enjoy a civilized, grownup holiday.
"
3x09 - Slapsgiving,Robin,"Look at us! We can't be alone together, can we?
"
3x09 - Slapsgiving,Ted,"Apparently not.
"
3x09 - Slapsgiving,Robin,"What does that mean? We're supposed to be friends.
"
3x09 - Slapsgiving,Ted,"We aren't friends, are we? Not really. We avoid each other. We smile politely. We're two people who pretend to be friends because it would be inconvenient not to.
"
3x09 - Slapsgiving,Robin,"Well, maybe we should stop pretending.
"
3x09 - Slapsgiving,Ted,"Maybe we should.
"
3x09 - Slapsgiving,Robin,"So... what do we do now?
"
3x09 - Slapsgiving,Ted,"I suppose... we eat dinner. And then that's it.
"
3x09 - Slapsgiving,Robin,"Okay.
"
3x09 - Slapsgiving,Ted,"Happy Thanksgiving.
"
3x09 - Slapsgiving,Barney,"Marshall, you're not eating. Did something spoil your slap-petite?
"
3x09 - Slapsgiving,Marshall,"No, i just thought...before we eat, maybe the chef would like to say a few words.
"
3x09 - Slapsgiving,Lily,"Nope. This sucks. Eat up and leave.
"
3x09 - Slapsgiving,Marshall,"Well, then, I'd like to say something. If that's cool? Um... today, Lily did something great. Not only did she gather us all here together and cook a delicious meal, but she also started a new tradition. We're gonna do this again next year, and the year after that... maybe for the rest of our lives. I think that's pretty amazing if you think about it. And it's all thanks to you,Lily. I love you. So, to the first of many Thanksgivings together.
"
3x09 - Slapsgiving,Robin,"Major buzz-k*ll.
"
3x09 - Slapsgiving,Lily,"Oh, no...
"
3x09 - Slapsgiving,Barney,"I thought we were done with that?
"
3x09 - Slapsgiving,Robin,"I guess we're not.
"
3x09 - Slapsgiving,Ted,"Guess we're not.
"
3x09 - Slapsgiving,Barney,"Hey, check it out! We're in the last 20 seconds of Marshall's countdown to nothing.
"
3x09 - Slapsgiving,Lily,"Barney, put it away.
"
3x09 - Slapsgiving,Barney,"How does it feel, Marshall,to sit there, impotently... your large, flaccid hand,just dangling in the wind?
"
3x09 - Slapsgiving,Barney,"Ooh, classy touch, dude. Too bad!
"
3x09 - Slapsgiving,Lily,"Barney, put it away.
"
3x09 - Slapsgiving,Barney,"I will in... five...
"
3x09 - Slapsgiving,Lily,"You can slap him.
"
3x09 - Slapsgiving,Barney,"What?! Wait, you...
"
3x09 - Slapsgiving,Marshall,"That's three! Thanks, baby, you're the best. And as a special, added bonus, I've composed a song just for this occasion. Ted, lights! (Marshall starts playing the piano and singing)
"
3x09 - Slapsgiving,Lily,"Well, guys have fun.
"
3x09 - Slapsgiving,Ted,"This is gonna be majoy cleaner.
"
3x09 - Slapsgiving,Marshall,"Oh man, we're gonna be doing this all the time, now aren't we?
"
3x09 - Slapsgiving,Robin,"That's the general idea.
"
"4x22 - Right Place, Right Time",Ted," A hat? This is brilliant. I love it! Nothing better to say ""delicious"" as inside a cowboy hat. I tell you, I'm your man. I think being born to draw this building. I... I see.
"
"4x22 - Right Place, Right Time",Ted," I see it. I see it.  What is it good?
"
"4x22 - Right Place, Right Time",Robin," All-Nighter?
"
"4x22 - Right Place, Right Time",Ted," I told them I had a vision for this thing. They want a drawing in a week and I have nothing!
"
"4x22 - Right Place, Right Time",Robin," It's cute.
"
"4x22 - Right Place, Right Time",Ted," Cute? I can draw concert halls and bridges. Bridges so beautiful they could be in museums. And I could draw these museums. But I draw, what instead? Where is my career? A two-story Stetson... with a terrace on the edge. It's a cosmic joke. The universe conspires against me.
"
"4x22 - Right Place, Right Time",Robin," Did you just need to get out. Take a walk. Pay yourself a bagel.
"
"4x22 - Right Place, Right Time",Ted," Yeah, that'll solve everything. I have not slept for 34 hours, but a bagel is the answer. Cinnamon and raisin bagel with some cream. It looks good. I'll buy one.
"
"4x22 - Right Place, Right Time",Robin," Take an umbrella. It's going to rain, according Galoshes, our clown-weather.
"
"4x22 - Right Place, Right Time",Ted," Your show has a clown to present the weather? It's a bit nase, right?
"
"4x22 - Right Place, Right Time",Robin," And this restaurant that you draw, what form it, Hoss?
"
"4x22 - Right Place, Right Time",Ted," Okay. You want to fire me from here, I go out. I look forward to seeing what the universe has prepared me.
"
"4x22 - Right Place, Right Time",Robin," Eunice is itself these handbags. They are hand-embroidered silks at best. And each takes months to do. I can not say how long...  Weather, fools!
"
"4x22 - Right Place, Right Time",Robin," On the other hand, I bought a big bag today.
"
"4x22 - Right Place, Right Time",Ted," Wait, why did you vomit?
"
"4x22 - Right Place, Right Time",Robin," You want to know.
"
"4x22 - Right Place, Right Time",Ted," Come on. Tell me.
"
"4x22 - Right Place, Right Time",Robin," I'm pregnant.
"
"4x22 - Right Place, Right Time",Ted," I will raise this child with you. You're not alone. You can get married if you want, but I want to see other girls, it would be one of those marriages...
"
"4x22 - Right Place, Right Time",Robin," Stop! I'm not pregnant. This is an intoxication. I ate something at the restaurant, three hours later, I vomited like a fountain.
"
"4x22 - Right Place, Right Time",Ted," Where?
"
"4x22 - Right Place, Right Time",Robin," This is a disgusting issue.
"
"4x22 - Right Place, Right Time",Ted," Where was your meal?
"
"4x22 - Right Place, Right Time",Robin," I want to tell you.
"
"4x22 - Right Place, Right Time",Ted," What?
"
"4x22 - Right Place, Right Time",Robin," Someone has already put on YouTube?
"
"4x22 - Right Place, Right Time",Barney," Yeah... someone. So... why did you vomit? You're pregnant?
"
"4x22 - Right Place, Right Time",Robin," Yeah, I'm pregnant.
"
"4x22 - Right Place, Right Time",Ted," Why do you not tell me where you got your intoxication?
"
"4x22 - Right Place, Right Time",Robin," You adore this place. If I tell you, it will ruin it.
"
"4x22 - Right Place, Right Time",Ted," It makes sense. Do not say anything.
"
"4x22 - Right Place, Right Time",Ted," This Indian restaurant where the cat jumps on the tables?
"
"4x22 - Right Place, Right Time",Robin," I say nothing.
"
"4x22 - Right Place, Right Time",Ted," The Spanish restaurant with the cradle?
"
"4x22 - Right Place, Right Time",Robin," I say nothing.
"
"4x22 - Right Place, Right Time",Ted," Is it here? Tell me!
"
"4x22 - Right Place, Right Time",Robin," You really want to know? This is Schlegel's Bagels.
"
"4x22 - Right Place, Right Time",Ted," Why do you have told me? Schlegel's? Thank you! I'll have to find another New York place that serves bagels.
"
"4x22 - Right Place, Right Time",Barney," The Bro's Life magazine. Page 83. Look.
"
"4x22 - Right Place, Right Time",Ted," ""What does your paintball on your personality? ""
"
"4x22 - Right Place, Right Time",Barney," Lowest.
"
"4x22 - Right Place, Right Time",Ted," ""The last 3 kilos: how the push to lose. ""
"
"4x22 - Right Place, Right Time",Barney," Highest.
"
"4x22 - Right Place, Right Time",Ted," Petra Petrova.
"
"4x22 - Right Place, Right Time",Barney," The Girl of the Year in May, according to Bro's Life magazine. A delicate flower in stiletto heel leopard thong and riding a 4x4.
"
"4x22 - Right Place, Right Time",Ted," These magazines are broken. It is certainly retouched.
"
"4x22 - Right Place, Right Time",Barney," I have an appointment with.
"
"4x22 - Right Place, Right Time",Ted," You are my hero! Really? How did you do?
"
"4x22 - Right Place, Right Time",Barney," It's not in the story. I waited a long time to say that.This girl... is the daughter.
"
"4x22 - Right Place, Right Time",Ted," Of course it is. Marry them! It.
"
"4x22 - Right Place, Right Time",Barney," Marrying? I have something even more special in mind. Petra, if all goes well, will be my... wait, my 200th! Can not wait. Too exciting.
"
"4x22 - Right Place, Right Time",Ted," The 200th with that... get laid?
"
"4x22 - Right Place, Right Time",Barney," Who I'll lie. I want the highest ""Tope there.""
"
"4x22 - Right Place, Right Time",Ted," Even if I was wearing protective clothing. 200 is too much!
"
"4x22 - Right Place, Right Time",Barney," As if there could be too much of something wonderful.""Babe Ruth, gently, my grandfather. Do not hit too many home runs. Steve Guttenberg, you should not do that three Police Academy. America has laughed enough. ""
"
"4x22 - Right Place, Right Time",Ted," Who are these girls? It was rhetorical. Show me the list.
"
"4x22 - Right Place, Right Time",Barney," 199 satisfied customers. Finally, the big night is Thursday. I give a reception before, in McClaren's. Prepares a toast. Tuxedo optional but desired. Gifts are, I would say useless, but follow your heart.
"
"4x22 - Right Place, Right Time",Ted," 200 is too much.
"
"4x22 - Right Place, Right Time",Barney," It's not too much.
"
"4x22 - Right Place, Right Time",Ted," That's too!
"
"4x22 - Right Place, Right Time",Marshall," It's not too much.
"
"4x22 - Right Place, Right Time",Barney," Thank you.
"
"4x22 - Right Place, Right Time",Marshall," Do not misunderstand. You're disgusting and the cops should put a shoe on your part, but this number should be higher. After Barney told me about that, I reviewed the figures and... I have some graphics. Barney dredge about 20 girls a week.
"
"4x22 - Right Place, Right Time",Barney," It's more than 20. B. Does nothing more precise estimate.
"
"4x22 - Right Place, Right Time",Marshall," Let 20. So 20 girls a week, that's 1,040 girls a year.In its 16 years of sexual activity, it would mean that he has dredged 16,640 girls. If he has slept with 199, it's a success rate... slightly higher than one per cent. This is an average of 12 hits, eight times worse than average in career... launcher in one hand, the launcher... Jim Abbott.
"
"4x22 - Right Place, Right Time",Barney," Jealous. Jealous. Hero. Strangely silent during this conversation on his number of sexual partners. Hero. The grand total, it is the only number that matters.
"
"4x22 - Right Place, Right Time",Ted," Who said so?
"
"4x22 - Right Place, Right Time",Barney," Matthew Panning, the stud of Port Richmond College.
"
"4x22 - Right Place, Right Time",Barney," You neither.
"
"4x22 - Right Place, Right Time",Barney," You know what, Matthew? One day, I would have done with 200.
"
"4x22 - Right Place, Right Time",Barney," And I'll call.
"
"4x22 - Right Place, Right Time",Ted," I think he'll say it again very slowly.
"
"4x22 - Right Place, Right Time",Barney," I will... the call.
"
"4x22 - Right Place, Right Time",Robin," You have noted Gaby Allan dual, 78 and 162.
"
"4x22 - Right Place, Right Time",Barney," What? Let me see. Sixty... Once. Oh, my God. Wait...I counted the same girl twice? That means I'm only at 198?
"
"4x22 - Right Place, Right Time",Marshall," It just means you're less than 0.5% was thought disgusting.
"
"4x22 - Right Place, Right Time",Barney," I win a Czech supermodel in two hours. I can not waste it in the 199th. Petra must be the 200th.
"
"4x22 - Right Place, Right Time",Ted," are you gonna do? You will find not a partner in the next 2 hours.
"
"4x22 - Right Place, Right Time",Barney," Astronaut Millionaire. You come home to see shells?
"
"4x22 - Right Place, Right Time",Barney," I come from the grave of my wife. I buried her there was just one year. I miss her. I need comfort.
"
"4x22 - Right Place, Right Time",Barney," You're not as sick of all these games? I just want to settle down and have an army of toddlers at once.
"
"4x22 - Right Place, Right Time",Barney," Marshall? Knowing how important it is for me, you think that Lily... I would do the job...
"
"4x22 - Right Place, Right Time",Marshall," I'll k*ll you.
"
"4x22 - Right Place, Right Time",Barney," Okay.
"
"4x22 - Right Place, Right Time",Ted," Where did Barney? It's been over an hour.
"
"4x22 - Right Place, Right Time",Robin," You know, looking at the names on this list, I do not see a lot of ethnic diversity. It should really be questioned.
"
"4x22 - Right Place, Right Time",Barney," It's done. 199 made of, more than one. Have you finished your drink?  That's better.
"
"4x22 - Right Place, Right Time",Ted," It has happened to you what?
"
"4x22 - Right Place, Right Time",Barney," There... a girl in the gym. Pauline. She runs after me for a while.
"
"4x22 - Right Place, Right Time",Ted," Why wait till then?
"
"4x22 - Right Place, Right Time",Barney," It's not really my type.
"
"4x22 - Right Place, Right Time",Barney," Good, Pauline. You're going to have all of Fonte Leveuse Sarasota Classic this fall. I thought... to you and me.And if you're still interested...
"
"4x22 - Right Place, Right Time",Barney," Good grief! Mom!
"
"4x22 - Right Place, Right Time",Barney," Every inch tasted like roast beef and creatine. But I did. I did and I still have 30 minutes before meeting with Petra.Robin, you have the foundation? I want to cover bruises and razor burn.
"
"4x22 - Right Place, Right Time",Robin," I hate to tell you this, but...
"
"4x22 - Right Place, Right Time",Barney," What?
"
"4x22 - Right Place, Right Time",Robin," You did the right Gaby Allan counted 2 times, but...you're also spent 138 to 138. Have you used the same number twice.
"
"4x22 - Right Place, Right Time",Barney," So that means... Pauline is not the 199th, it is the 200th?
"
"4x22 - Right Place, Right Time",Ted," Congratulations!
"
"4x22 - Right Place, Right Time",Barney," It must have Petra! Petra was to be the 200th!Beautiful, feminine, ""unrestrained power in bed"", Petra!
"
"4x22 - Right Place, Right Time",Ted," Go! Happened to you at 200. You should be proud. You should be tested, but you should be proud. We do not care if Pauline does not pose in bikinis in magazines.
"
"4x22 - Right Place, Right Time",Barney," It does. She will be in the next Muscle Sexxy. And like many women in this magazine, Sexxy has two X and one Y.
"
"4x22 - Right Place, Right Time",Marshall," Fran, I will not bother you, but I have a presentation tomorrow and it would help me if I could have tables and graphs. Can you help me?
"
"4x22 - Right Place, Right Time",Marshall," We'll have fun.  I ranked the presidents in order of disloyalty. A: Johnson. Two: Bush. Three Harding.Four: Polk.  This circle represents ""Those who break my heart."" And this circle represents ""Those who constantly undermine my confidence. ""And where they meet: Cecilia.  This is a pie chart describing my favorite bars. And that is a graph describing my favorite pies. What is it?
"
"4x22 - Right Place, Right Time",Robin," That's enough tables.
"
"4x22 - Right Place, Right Time",Barney," What about the graphics.
"
"4x22 - Right Place, Right Time",Ted," Any visual representation of data.
"
"4x22 - Right Place, Right Time",Marshall," I'm not stupid. I know what you think of my paintings and graphics. In fact, I made a picture of your reactions to my paintings. See it. Yes, that's true, since Cecilia, your interest in my paintings do not stop falling. But based on recent trends, I also... projection boards! And look... a large peak of interest is coming! And it's not just a blip dead cat. It is a long-term growth.
"
"4x22 - Right Place, Right Time",Barney," It's you, sustained growth.
"
"4x22 - Right Place, Right Time",Marshall," So, I prepared some charts to show how the setting up of a shell company in Bermuda could minimize our losses in the second quarter. And you avoid jail. To begin with...Excuse me a moment?
"
"4x22 - Right Place, Right Time",Ted," Mosbius Designs.
"
"4x22 - Right Place, Right Time",Marshall," What happened to my pictures?
"
"4x22 - Right Place, Right Time",Ted," They were thrown.
"
"4x22 - Right Place, Right Time",Marshall," What?
"
"4x22 - Right Place, Right Time",Ted," That's an intervention. You could not stop eating, so we threw your cam.
"
"4x22 - Right Place, Right Time",Marshall," Come on, Ted! I need my pictures! Only for today and I promise to never ever do. I suffered a lot of pressure. I need my paintings, Jack!
"
"4x22 - Right Place, Right Time",Ted," You make tables work?
"
"4x22 - Right Place, Right Time",Marshall," It's for work, idiot! I make a great show and if I have not these pictures, I'm gonna get fired!
"
"4x22 - Right Place, Right Time",Ted," Damn. Not move. I bring them.
"
"4x22 - Right Place, Right Time",Marshall," Magne! I will research how to wait.  Sorry, there is a little late with the tables. But we'll begin in a moment. Fish are weird, right? I mean, what's their problem?
"
"4x22 - Right Place, Right Time",Ted," I'm sorry, Milt? I think these are my paintings.
"
"4x22 - Right Place, Right Time",Ted," This is my blanket. We'll see later. But I need these tables.
"
"4x22 - Right Place, Right Time",Ted," Okay, how?
"
"4x22 - Right Place, Right Time",Ted," I give you five dollars.
"
"4x22 - Right Place, Right Time",Ted," No one will pay a million for these pictures!
"
"4x22 - Right Place, Right Time",Ted," OK, Milt, you won. I will give one million.
"
"4x22 - Right Place, Right Time",Ted," The problem is that the distributor...
"
"4x22 - Right Place, Right Time",Ted," The alien time machine has a withdrawal limit. That's what I'll do. I give you a dollar... per day... for a million days.
"
"4x22 - Right Place, Right Time",Marshall," Sorry, there is a star of earth?  start.
"
"4x22 - Right Place, Right Time",Barney," I slept with 200 women.
"
"4x22 - Right Place, Right Time",Barney," You've thought of consulting as ""I win, you lose""?Suddenly, your 100 girls in fifth, it is so impressive.
"
"4x22 - Right Place, Right Time",Barney," Of course.
"
"4x22 - Right Place, Right Time",Barney," Of course.
"
"4x22 - Right Place, Right Time",Barney," Jealous?
"
"4x22 - Right Place, Right Time",Barney," I'm awesome. 200. Now what?
"
3x19 - Everything Must Go,Barney,"So I threw the pressure air oxygen into its mouth. I sh**t the t*nk, boo, nomore shark. Mr. Hall and I swam back to shore. Hey,let me serve you a drink.
"
3x19 - Everything Must Go,Barney,"So where were we?
"
3x19 - Everything Must Go,Barney,"Again? Really? Wait...
"
3x19 - Everything Must Go,Barney,"Hey, excuse me. Did I sleep with you and then totally screw you over?
"
3x19 - Everything Must Go,Barney,"What are you doing on Friday?
"
3x19 - Everything Must Go,Barney,"Stop! Amy?
"
3x19 - Everything Must Go,Barney,"Riiiggghhhttt!!!
"
3x19 - Everything Must Go,Lily,"A rainbow! That's beautiful! What a beautiful rainbow! Another rainbow? It's beautiful!
"
3x19 - Everything Must Go,Lily,"You're kidding me. Seriously, aren't you sick of these things?
"
3x19 - Everything Must Go,Ted,"Hey, how was your day?
"
3x19 - Everything Must Go,Lily,"Today, I yelled at a little girl for painting a rainbow.
"
3x19 - Everything Must Go,Ted,"A rainbow? Sounds like that bitch had it coming.
"
3x19 - Everything Must Go,Marshall,"So, uh, I just met with the contractor. and it turns out, that fixing the floors of the new apartment is going to cost a lot more than the estimate.
"
3x19 - Everything Must Go,Lily,"But we can barely afford that to begin with.
"
3x19 - Everything Must Go,Marshall,"I hate to say this, but I think you're going to have to sell your stuff.
"
3x19 - Everything Must Go,Lily,"Whoa! Marshall, that's just a game we play in the bedroom.
"
3x19 - Everything Must Go,Marshall,"I mean your clothes. All those designer pieces and everything.
"
3x19 - Everything Must Go,Lily,"What? Why just my clothes?
"
3x19 - Everything Must Go,Marshall,"We can sell my stuff, too, but I got to tell you, I think your Marc Jacobs cocktail dress is going to go for a lot more than my ""Split Happens"" bowling shirt.
"
3x19 - Everything Must Go,Ted,"Dude.
"
3x19 - Everything Must Go,Marshall,"I'm not selling that. I've already made the Website.
"
3x19 - Everything Must Go,Lily,"You made a Website?
"
3x19 - Everything Must Go,Marshall,"Yeah, it's called ""Lily-and-Marshall-sell- their-stuff-dot-com.""
"
3x19 - Everything Must Go,Lily,"No, you know what would be a better name for the site? Guy-forces-his-wife- to-dress-in-a-garbage-bag- for-the-next- three-years-dot-com. That's real.
"
3x19 - Everything Must Go,Marshall,"I'm worried. That woman is actually wearing a-a garbage bag.
"
3x19 - Everything Must Go,Lily,"Hmm, but, girlfriend, you cannot pull off a tall kitchen.
"
3x19 - Everything Must Go,Barney,"Why are you trying to ruin my life?
"
3x19 - Everything Must Go,Barney,"And?
"
3x19 - Everything Must Go,Barney,"That's it? As far as I'm concerned, if I leave you safe on dry land with adequate transportation home, you've got nothing to complain about.
"
3x19 - Everything Must Go,Barney,"Oh, boo-hoo, poor little Ashley.
"
3x19 - Everything Must Go,Barney,"Abby. A few weeks ago, Ted dumped me as his wingman. You had a crush on him for a couple weeks? I was Ted's best friend for seven years.
"
3x19 - Everything Must Go,Barney,"Seven years!
"
3x19 - Everything Must Go,Barney,"Ted. What an idiot. With his stupid ""meaningful relationship"" with Stella.
"
3x19 - Everything Must Go,Barney,"I hate Ted more.
"
3x19 - Everything Must Go,Barney,"Probably not quite as much.
"
3x19 - Everything Must Go,Barney,"I'm sorry I yelled out ""Abby.""
"
3x19 - Everything Must Go,Barney,"Oh, cool.
"
3x19 - Everything Must Go,Ted,"This is insane. Has Lily even worn half this stuff?
"
3x19 - Everything Must Go,Robin,"Oh, yeah, like there's nothing in your closet you've never worn?
"
3x19 - Everything Must Go,Ted,"As a matter of fact, no, there isn't.
"
3x19 - Everything Must Go,Robin,"Whatever, red cowboy boots.
"
3x19 - Everything Must Go,Ted,"Those are nice boots. I totally pull those off.
"
3x19 - Everything Must Go,Marshall,"Hey, Lil, if I were to say ""Ted could never pull them off,"" What would I be talking about?
"
3x19 - Everything Must Go,Robin,"His red cowboy boots.
"
3x19 - Everything Must Go,Ted,"I totally pull them off! It's a classic Western look.
"
3x19 - Everything Must Go,Marshall,"Oh, okay, uh, today's categoryclassic Westerns that involve red cowboy boots. Ooh, ooh! Robin.
"
3x19 - Everything Must Go,Robin,"""The Good, the Bad, and the Fabulous.""
"
3x19 - Everything Must Go,Lily,"""The Magnificent Kevin.""
"
3x19 - Everything Must Go,Marshall,"""No Country for Straight Men.""
"
3x19 - Everything Must Go,Lily,"I don't want to sell my clothes!
"
3x19 - Everything Must Go,Robin,"Oh, I know, sweetie. Come here. Is this a hundred percent silk?
"
3x19 - Everything Must Go,Marshall,"Lily,listen, we really need the money. I have some leads on a job, but until then, I just... I don't know what else we can do.
"
3x19 - Everything Must Go,Lily,"I'll sell my paintings!
"
3x19 - Everything Must Go,Marshall,"What?
"
3x19 - Everything Must Go,Lily,"Yeah, I'll sell my paintings. Good oil paintings go for like, $500.
"
3x19 - Everything Must Go,Marshall,"Yeah. Totally. But...
"
3x19 - Everything Must Go,Marshall,"I love it. It's a masterpiece. That's it. We're selling the TV. I just want to come home and stare at this all day. Aw. Somebody call the cops! My wife stole an awesome painting from the museum!
"
3x19 - Everything Must Go,Marshall,":...that kind of money only goes for real paintings.
"
3x19 - Everything Must Go,Lily,"What does that mean?
"
3x19 - Everything Must Go,Marshall,"Look, it just, it just means that-that we need money right now and I'm not sure that selling your paintings is-is how we're going to get it.
"
3x19 - Everything Must Go,Lily,"You don't believe in me.
"
3x19 - Everything Must Go,Marshall,"No, wait, wait! Of c... of course I believe in you!
"
